name,category_id,price
iPhone 14 Pro,1,999.99
Samsung Galaxy S23,1,899.99
MacBook Pro 16,1,2499.99
Sony WH-1000XM5,1,399.99
Nintendo Switch OLED,1,349.99
Men's Casual T-Shirt,2,24.99
Women's Yoga Pants,2,39.99
Men's Denim Jeans,2,59.99
Women's Summer Dress,2,49.99
Unisex Hoodie,2,45.99
Instant Pot Duo,3,89.99
KitchenAid Mixer,3,299.99
Dyson V15 Vacuum,3,699.99
Ninja Air Fryer,3,99.99
Cuisinart Coffee Maker,3,79.99
The Great Gatsby,4,14.99
To Kill a Mockingbird,4,12.99
1984,4,9.99
Pride and Prejudice,4,7.99
The Hobbit,4,15.99
Nike Air Max,5,129.99
Yoga Mat,5,29.99
Dumbbell Set,5,89.99
Bicycle Helmet,5,49.99
Camping Tent,5,149.99 